obs_id,day,latitude,near_equator,northern,southern,first_3m,last_3m,middle_6m,snowfall,good_skiing,day_num
187,2023-02-05,-85,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,36
1370,2023-09-17,-90,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.550393077381102,TRUE,260
1845,2023-12-10,65,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11.235603328322007,TRUE,344
1588,2023-10-22,75,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8.171980770385716,TRUE,295
741,2023-05-21,-90,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.919842358172403,TRUE,141
1599,2023-10-29,-55,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,302
1584,2023-10-22,55,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9.31386111828853,TRUE,295
861,2023-06-11,-45,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.820320155679635,TRUE,162
860,2023-06-11,-50,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,9.863774168111467,TRUE,162
1924,2023-12-24,90,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9.571784953008793,TRUE,358
667,2023-05-07,-90,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,14.110568559660912,TRUE,127
729,2023-05-14,35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,134
614,2023-04-23,15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,113
1148,2023-08-06,-90,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,10.898737114021786,TRUE,218
1945,2023-12-31,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,365
50,2023-01-08,-30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,8
1150,2023-08-06,-80,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.347114377490588,TRUE,218
708,2023-05-14,-70,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,13.359631788434395,TRUE,134
1630,2023-11-05,-85,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,309
160,2023-01-29,-35,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,29
1884,2023-12-17,75,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11.37330429400583,TRUE,351
715,2023-05-14,-35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,134
1342,2023-09-10,-45,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.858560394218184,TRUE,253
547,2023-04-09,50,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,99
1076,2023-07-23,-80,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11.434639230453877,TRUE,204
773,2023-05-21,70,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,141
92,2023-01-15,-5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,15
691,2023-05-07,30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,127
1651,2023-11-05,20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,309
1142,2023-07-30,65,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,211
1067,2023-07-16,60,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,197
515,2023-04-02,75,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,92
3,2023-01-01,-80,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1
1774,2023-11-26,80,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7.832687920774377,TRUE,330
1241,2023-08-20,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,232
425,2023-03-19,-5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,78
524,2023-04-09,-65,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11.02086268749386,TRUE,99
1529,2023-10-15,-35,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,288
1415,2023-09-24,-50,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,15.435544372008948,TRUE,267
271,2023-02-19,-35,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,50
695,2023-05-07,50,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,127
34,2023-01-01,75,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,8.408987785516079,TRUE,1
54,2023-01-08,-10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,8
124,2023-01-22,-30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,22
1251,2023-08-20,55,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,232
859,2023-06-11,-55,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,7.125869693549005,TRUE,162
902,2023-06-18,-25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,169
